Epoch,Train Dice,Validation Dice,Train IoU,Validation IoU,Train Accuracy,Validation Accuracy,Train Precision,Validation Precision,Train Recall,Validation Recall,Train WarpingError,Validation WarpingError
0,0.16595262258313595,0.3004870613416036,0.09377852366305889,0.17689247926076254,0.9398243427276611,0.9930434226989746,0.09437767329160124,0.19053893287976584,0.8823367780447007,0.7107773621877035,254.87178100585942,100.82113138834636
1,0.41435966849327094,0.5844289859135946,0.26475030064582833,0.41323843598365784,0.9933880925178529,0.9983735879262289,0.26779146432876594,0.6317330400149027,0.9655745887756347,0.5441090067227682,99.79100593566895,48.80695597330729
2,0.6550486683845522,0.4985857605934143,0.4936256146430969,0.3321383794148763,0.9977852106094359,0.9985486070315043,0.5166926336288453,0.9138477047284445,0.931084051132202,0.3428862194220225,57.65626777648927,46.08071772257487
3,0.7999054288864137,0.8427272439002991,0.6681878638267519,0.7283475001653036,0.9990428972244262,0.9993281960487366,0.7367978262901305,0.8289979100227356,0.8818940734863281,0.856921374797821,38.39374538421631,31.345233917236328
4,0.8345573735237121,0.829672654469808,0.7166873288154602,0.7091165582338969,0.9992378211021422,0.9992948969205221,0.8042369651794433,0.8395170370737711,0.8691483592987059,0.8200716972351074,34.38784942626953,32.05907376607259
5,0.8496968293190001,0.8663244048754374,0.7391230607032776,0.7642392714818319,0.9993057370185853,0.9994353254636129,0.826816759109497,0.8614055514335632,0.8752336502075195,0.8714272181193033,32.53200653076171,28.7326234181722
6,0.8670418167114258,0.853614091873169,0.7655544114112853,0.7446189920107523,0.9993859386444092,0.9994165698687235,0.8492376708984375,0.9055917064348856,0.8881606578826904,0.8073018193244934,30.655372467041015,29.23465855916341
7,0.8644571447372436,0.8806773821512858,0.7615794968605042,0.7868534326553345,0.9993647909164428,0.9994757771492004,0.8455409479141235,0.8469614187876383,0.8875883245468139,0.9173096617062887,30.888578147888186,27.72321319580078
8,0.862608585357666,0.845071037610372,0.7604105138778686,0.7317376931508383,0.9994188499450684,0.999379555384318,0.8397402882575989,0.8890490531921387,0.8946053504943847,0.8052618106206259,29.986413974761962,30.123694101969402
9,0.8732908225059509,0.874954879283905,0.775217890739441,0.7777228951454163,0.9994377422332764,0.9994954864184061,0.8562488245964052,0.912852942943573,0.8927077436447144,0.840142548084259,29.624265995025635,27.155656178792317
10,0.8803056430816651,0.8797608812650045,0.7864246845245362,0.785464326540629,0.9994593286514282,0.9994906385739645,0.8674456453323366,0.8748313784599304,0.8946670794486998,0.8847926060358683,28.973978500366215,27.313241322835285
11,0.8861337161064147,0.8885369102160136,0.7959286546707154,0.7994646827379862,0.9994838452339172,0.9995233217875162,0.8776788759231567,0.8727315068244934,0.8956111526489257,0.9051263133684794,28.32473054885864,26.37584114074707
12,0.880206687450409,0.8908714453379313,0.7863188862800599,0.8032256563504537,0.9994608926773071,0.9995345870653788,0.8608623075485229,0.8784727056821188,0.9014736223220827,0.903697689374288,28.99607685089111,26.09058443705241
13,0.8873454451560975,0.8913766543070475,0.7976693940162656,0.8040587902069092,0.9994770598411561,0.9995393753051758,0.878202872276306,0.883316179116567,0.8976643919944763,0.8996565341949463,27.934562034606934,25.952224095662434
14,0.8801972937583923,0.8898965716362,0.7874376678466797,0.8016694386800131,0.9994989490509033,0.9995354016621908,0.8633330392837525,0.8851319750150045,0.9012296342849732,0.8948013385136923,27.972587471008303,26.043450037638348
15,0.8845805859565735,0.8833313981691996,0.7932174897193909,0.7910822431246439,0.9994762468338011,0.9995129307111105,0.8692952561378479,0.8882349530855814,0.9011669206619262,0.8785827954610189,28.39690553665161,26.666115442911785
16,0.8780524682998656,0.8931280573209127,0.7829362869262695,0.8069200913111368,0.9994335198402405,0.9995482365290324,0.8664815735816956,0.8886250058809916,0.8908099246025086,0.8977953394254049,29.244183158874517,25.71253712972005
17,0.8920157051086426,0.8956025838851929,0.8055579733848572,0.8109441002209982,0.9995106983184815,0.9995459119478861,0.8814417243003846,0.8673911889394125,0.9034896302223206,0.925853451093038,27.57720977783203,25.77857716878255
18,0.8961638951301574,0.895084798336029,0.8121268439292907,0.8101094961166382,0.9995303702354432,0.999550978342692,0.8809657835960388,0.8790932695070902,0.9128263926506043,0.911788821220398,27.041298389434814,25.62215741475423
19,0.8965563964843749,0.8942011396090189,0.8127177357673644,0.8086505730946859,0.9995284628868103,0.9995612104733785,0.8833079433441162,0.907574196656545,0.911128373146057,0.8812407453854879,26.812776470184325,25.34279441833496
20,0.8960258626937867,0.8953676025072733,0.8117947673797606,0.8106016715367635,0.9995325684547425,0.9995538592338562,0.8877621364593505,0.8832406997680664,0.9050251460075378,0.90789928038915,26.89684791564941,25.551930745442707
21,0.8862550401687622,0.8921912709871928,0.7969892692565919,0.8053759535153707,0.9995189261436461,0.9995441635449728,0.8676015877723694,0.8868834972381592,0.9093423914909363,0.8977081974347433,27.323735809326173,25.811574935913086
22,0.8884910988807678,0.893762211004893,0.7997709202766418,0.8079517086346945,0.9994921684265137,0.9995480378468832,0.8775637221336364,0.882475217183431,0.9008412265777588,0.9054998755455017,27.492459678649897,25.69116274515788
23,0.8966506910324097,0.8968350489934286,0.812816653251648,0.8129841685295105,0.99954407453537,0.9995667537053426,0.8820713448524473,0.8970071077346802,0.9128250741958618,0.8967790404955546,26.57385007858276,25.155902862548828
24,0.8988861060142518,0.896304210027059,0.816503119468689,0.8121042450269064,0.9995471215248108,0.9995655218760172,0.8925682210922242,0.8989965518315634,0.9060317492485047,0.8937772711118063,26.444597263336185,25.198984146118164
25,0.8989212822914122,0.8972355326016744,0.8165067815780639,0.8136371572812399,0.999544997215271,0.999566117922465,0.8875724411010741,0.8933647473653158,0.9111817383766174,0.9012073874473572,26.495791950225833,25.180674235026043
26,0.891462423801422,0.8966441750526428,0.8059986186027528,0.8126688003540039,0.9995469784736635,0.9995706478754679,0.8744761157035827,0.9068249464035034,0.9135519433021545,0.8867554863293966,26.438842163085937,25.046397527058918
27,0.8966554498672484,0.8964224457740784,0.8128246474266053,0.8122926751772562,0.999529640674591,0.9995702107747396,0.8926190328598023,0.9091071883837382,0.9022360157966615,0.8841752211252848,26.680255870819096,25.079984664916992
28,0.9006213378906249,0.899247427781423,0.8193140292167663,0.8169476985931396,0.999539189338684,0.9995757540067037,0.8901262927055359,0.8976232806841532,0.9121560716629028,0.9009482065836588,26.244528884887696,24.9076353708903
29,0.9025498461723327,0.9013701478640238,0.8224907636642456,0.8204551537831625,0.9995644545555114,0.9995847145716349,0.8931328678131104,0.9000290234883627,0.913240523338318,0.9028074940045675,25.928832454681395,24.64137140909831
30,0.901506094932556,0.9031525651613871,0.820897545814514,0.8234231273333231,0.9995434308052062,0.9995871782302856,0.8901095724105835,0.8908674716949463,0.9142015480995179,0.9158579309781393,25.953552436828613,24.57359250386556
31,0.9047321534156799,0.8977482318878174,0.8262569665908814,0.8144704103469849,0.9995670199394225,0.9995728731155396,0.8931080007553102,0.904250959555308,0.9172060322761535,0.8914386828740438,25.81218584060669,24.99498112996419
32,0.9024448657035827,0.8993393977483114,0.8224386644363403,0.8170922994613647,0.9995489287376405,0.9995776017506918,0.8929347419738769,0.9015935262044271,0.9127387404441833,0.8972133000691732,25.772129516601563,24.857444127400715
33,0.9063667201995851,0.9009815454483032,0.829185152053833,0.8198152581850687,0.9995748782157898,0.9995793700218201,0.8965850210189819,0.8915049831072489,0.91672847032547,0.9107533891995748,25.679144630432134,24.79830805460612
34,0.9046159791946411,0.9018050034840902,0.8260468339920044,0.8211727937062582,0.9995597147941591,0.9995816349983215,0.8956338286399841,0.8904531002044678,0.9145418882369996,0.9135242501894633,25.63222385406494,24.738554000854492
35,0.907389168739319,0.9046510259310404,0.8307372093200683,0.8259037931760153,0.9995765876770021,0.9995948870976766,0.8968941521644593,0.8960673610369364,0.918810751438141,0.9135179320971171,25.50886728286743,24.348251342773438
36,0.9077234363555909,0.9012628396352133,0.8312405490875244,0.8202718297640482,0.9995780301094056,0.9995864828427633,0.8974493384361266,0.9062985976537069,0.91855046749115,0.8963617483774821,25.371393451690675,24.6041316986084
37,0.905783793926239,0.9006984035174052,0.8279605746269227,0.819340189297994,0.9995772767066955,0.9995840191841125,0.8958505296707154,0.9044926961263021,0.9165292358398438,0.897011399269104,25.429110240936282,24.669455846150715
38,0.9058733296394348,0.9011538624763489,0.8282767748832702,0.8200923005739847,0.9995875215530395,0.9995832244555155,0.8952197861671448,0.9003873666127523,0.9174866771697997,0.902003546555837,25.33642890930176,24.703852971394856
39,0.9055056834220886,0.9016450047492981,0.8275213956832884,0.8209113478660583,0.9995676064491272,0.9995867609977722,0.900388367176056,0.9025644262631735,0.911159701347351,0.9007914066314697,25.458874320983888,24.589176813761394
40,0.9066632437705994,0.8999548951784769,0.8294934344291687,0.8181073665618896,0.9995676803588868,0.9995819727579752,0.8979274463653565,0.9066940943400065,0.9162994694709778,0.893390953540802,25.60945627212525,24.733266830444336
41,0.9065391612052918,0.9028668204943339,0.8292275476455688,0.822936991850535,0.9995874786376953,0.9995916287104288,0.8936631107330323,0.9030768473943075,0.9203196954727173,0.9027347167332967,25.339863262176515,24.440343856811523
42,0.9053614950180053,0.9021622935930887,0.8272767043113709,0.8217639128367106,0.9995692920684813,0.9995880722999573,0.8970731472969055,0.9026405215263367,0.9144727873802186,0.9017735918362936,25.4204275894165,24.558804194132488
43,0.9091521883010864,0.9030893643697103,0.8336436533927916,0.8233031630516052,0.9995950961112975,0.9995919664700826,0.9002098155021667,0.902775784333547,0.9187783789634705,0.9034775694211324,25.106686038970942,24.434481938680012
44,0.9090596151351931,0.9043241739273071,0.8334555220603942,0.8253601789474487,0.9995933365821837,0.9995965162913004,0.9018551015853882,0.9036050836245219,0.9169305014610291,0.905152440071106,25.08875619888306,24.305877049763996
45,0.910092258453369,0.904224673906962,0.8352282667160033,0.8251948555310568,0.9995859169960021,0.9995956222216288,0.9019362068176271,0.902392049630483,0.9188549542427064,0.9061877926190695,25.098409576416017,24.336957931518555
46,0.9098098969459534,0.9043918450673422,0.834629521369934,0.8254712621370951,0.9995941162109374,0.999597946802775,0.9009569907188414,0.9059033393859863,0.9192765259742737,0.9029821356137594,25.03783842086792,24.263219833374023
47,0.9062065386772156,0.90582275390625,0.8291388654708862,0.827857514222463,0.9995774674415588,0.9996028343836466,0.8935180997848512,0.904220183690389,0.9206621718406678,0.907497783501943,24.98232620239258,24.11078135172526
48,0.9080962204933167,0.9035699168841044,0.8318842577934266,0.8241045276323954,0.9995743107795716,0.9995948870976766,0.9012809181213381,0.9063862363497416,0.9160379076004027,0.9008677005767822,25.067511444091792,24.35715929667155
49,0.9071164059638979,0.9037217497825623,0.830351665019989,0.8243545293807983,0.9995629382133484,0.999596357345581,0.8933770251274109,0.9078171054522196,0.921980710029602,0.8997304240862528,25.167092742919923,24.308429718017578
50,0.9111111998558046,0.9045241673787435,0.8371489930152893,0.8256931900978088,0.9995994424819947,0.9995986024538676,0.901934242248535,0.9055490891138712,0.9209334254264833,0.9035778641700745,24.974191417694094,24.240229924519856
51,0.9103048467636108,0.905412753423055,0.8355097389221192,0.8271785577138265,0.9995989298820493,0.9996005296707153,0.8994397878646851,0.9031546513239542,0.92231693983078,0.9077835281689962,24.83165760040283,24.189114252726238
52,0.9085208249092103,0.9048242370287577,0.8328448295593261,0.8261950612068176,0.9996037888526916,0.999598503112793,0.8962105703353883,0.9040832122166952,0.9219191145896912,0.9056555430094401,24.717375030517577,24.250795364379883
53,0.9111027741432188,0.9063214858373007,0.8368874263763427,0.8286943833033243,0.9996022486686705,0.9996024568875631,0.9051823210716248,0.8999931414922079,0.9175644421577454,0.9128095706303915,24.84575065612793,24.13155237833659
54,0.9087797021865845,0.905433714389801,0.8333372163772583,0.8272126118342081,0.999557936191559,0.9996010263760885,0.9005105710029603,0.9045986930529276,0.9176222038269043,0.9063823819160461,24.900962181091305,24.17528025309245
55,0.9099377155303955,0.9049173593521118,0.834974250793457,0.8263513843218485,0.9996043801307678,0.9995994965235392,0.9002320051193238,0.9056262771288554,0.9208292651176453,0.9043169418970743,24.731728191375733,24.221619923909504
56,0.9098474788665771,0.9061200618743896,0.8348629426956178,0.8283575574556986,0.9995740985870363,0.9996039668718973,0.9035176968574525,0.9052320718765259,0.9167073464393618,0.9071125586827596,24.82245529174805,24.084081013997395
57,0.9116298389434816,0.9059757788976034,0.8376757979393007,0.8281159202257792,0.9996111273765563,0.9996025562286377,0.8987370896339416,0.9031128684679667,0.9252554178237914,0.9089591900507609,24.67247525215149,24.12708282470703
58,0.9129402589797972,0.9063665469487509,0.839981586933136,0.8287691871325175,0.9996128749847414,0.9996045827865601,0.9090360260009764,0.9042914907137553,0.9172634553909303,0.9085404475529989,24.565453472137452,24.065987904866535
59,0.911009750366211,0.9054117202758789,0.8367493486404419,0.8271739284197489,0.9996093010902405,0.9996007482210795,0.8990985107421874,0.9038616816202799,0.9238328909873961,0.9070853988329569,24.662991695404052,24.18158785502116
60,0.9119372200965882,0.9057258566220602,0.8383767461776732,0.8276971578598022,0.9996028351783752,0.9996017615000407,0.9050812196731567,0.9024147391319275,0.9192626452445983,0.9091411828994751,24.66225728988647,24.13782246907552
61,0.9127803874015806,0.9049631953239441,0.8398149180412291,0.8264268040657043,0.999599995613098,0.9996000925699869,0.9018702149391175,0.9059012532234192,0.9242217230796813,0.9041146834691366,24.7816770362854,24.19203758239746
62,0.9116128134727479,0.9062013427416483,0.8377234148979188,0.8284907142321268,0.9996019101142882,0.999604344367981,0.9039872097969055,0.9045227368672689,0.9201614189147951,0.9079597393671671,24.688776206970214,24.062884012858074
63,0.9069980740547179,0.9064834515253702,0.8304595398902893,0.8289628426233927,0.9996093773841859,0.9996019800504049,0.8912922954559327,0.8973239660263062,0.9257019519805908,0.9159075816472372,24.713496723175048,24.140282313028973
64,0.9121732735633848,0.9060738484064738,0.8387091374397277,0.8282790184020996,0.9996075892448426,0.99960329135259,0.9070504069328308,0.9038960138956705,0.9178436708450317,0.9083483417828878,24.601934299468994,24.102331161499023
65,0.9129641795158386,0.9061296383539835,0.8399554514884948,0.8283774455388387,0.999606647491455,0.9996032317479452,0.9033882212638855,0.9038997888565063,0.9231652069091798,0.9084934194882711,24.643781127929685,24.10913149515788
66,0.913784511089325,0.9053292870521545,0.8414146447181701,0.8270398378372192,0.9996011042594909,0.9996004104614258,0.9051007437705992,0.9043342073758444,0.9231733870506287,0.9064255754152933,24.599748325347907,24.192752838134766
67,0.9111271739006043,0.9057038029034933,0.8368498635292054,0.8276603023211161,0.9996028614044188,0.9996009469032288,0.9004480123519898,0.901741604010264,0.9224835205078125,0.9097946882247925,24.726286106109626,24.172168095906574
68,0.9126124787330628,0.9059892296791077,0.8394366312026976,0.828139066696167,0.9995956802368164,0.9996038675308228,0.9057809019088745,0.9061826864878336,0.9199456739425659,0.9058826367060343,24.603640365600587,24.084932327270508
69,0.9100873899459838,0.9071246782938639,0.8353551435470581,0.8300404747327169,0.9996086668968202,0.999605655670166,0.9015661478042603,0.9007107814153036,0.9192000675201417,0.9137251774470011,24.528173618316647,24.035919825236004
70,0.9115403604507446,0.9056384364763895,0.8375560021400452,0.8275512854258219,0.9996148252487183,0.9996005495389303,0.9014209461212158,0.9014241894086202,0.9225825095176696,0.9099839131037394,24.525305995941164,24.18486722310384
71,0.9138753747940063,0.9055733482042948,0.841723563671112,0.8274422883987427,0.9996114540100098,0.9996029734611511,0.9103931856155397,0.9073990186055502,0.917648639678955,0.90384974082311,24.537433166503906,24.111265818277996
72,0.9098947119712829,0.9061134060223898,0.8351086139678954,0.8283448417981466,0.9996089649200439,0.9996027747790018,0.8969682741165161,0.902368426322937,0.9247906231880187,0.9099785685539246,24.511055984497073,24.117150624593098
73,0.9121248149871827,0.9059398571650187,0.8385628652572632,0.8280548055966696,0.9996093559265137,0.9996048013369242,0.9078022122383119,0.908457358678182,0.9167777848243712,0.9035333593686422,24.515132026672365,24.055926005045574
74,0.9110039567947389,0.9057274659474691,0.8368880510330201,0.8277004758516947,0.9996038866043093,0.9996027747790018,0.9000098013877869,0.9057214061419169,0.923480920791626,0.9058258732159933,24.4791110420227,24.116723378499348
75,0.9139831233024598,0.9067919850349426,0.8417403960227966,0.8294811248779297,0.9996044230461122,0.9996076822280884,0.9056489896774291,0.9079641699790955,0.9228372383117676,0.9057283401489258,24.525425949096675,23.969135284423828
76,0.9122480058670043,0.9072255889574686,0.8388587021827699,0.8302085200945536,0.9996018838882447,0.9996074835459391,0.9031984591484069,0.9039164185523987,0.9217884635925293,0.9106539885203043,24.566012802124025,23.977642059326172
77,0.9114904141426086,0.9068411787350973,0.8376386070251467,0.8295619090398153,0.9995820021629334,0.9996074239412943,0.9024744009971618,0.9066239396731058,0.921149320602417,0.907148023446401,24.614262886047364,23.975029627482098
78,0.9102548074722291,0.907043437163035,0.8356597685813903,0.829901119073232,0.9996018767356872,0.9996073047320048,0.8980472183227539,0.9047213196754456,0.9241247606277467,0.9094754854838053,24.55497507095337,23.97944513956706
79,0.9105339002609253,0.9068467815717062,0.8360710287094116,0.8295735716819763,0.9995851564407349,0.999607264995575,0.9001203870773316,0.9066479603449503,0.9219062590599061,0.9071368972460429,24.63106285095215,23.98126475016276
80,0.9118663811683654,0.9061358968416849,0.8381826567649842,0.8283833265304565,0.9995852017402648,0.9996055761973063,0.9070984435081483,0.9087435801823934,0.9172090768814087,0.9036386609077454,24.59036331176758,24.032479604085285
81,0.9120108723640442,0.9073925018310547,0.8384408354759215,0.8304852644602457,0.9996064710617066,0.999609112739563,0.9050453543663024,0.9058213631312052,0.9198493933677674,0.9090513984362284,24.567651233673093,23.92458979288737
82,0.9135403299331665,0.9074937303860983,0.841026909351349,0.8306554555892944,0.9996114110946654,0.9996092120806376,0.901335504055023,0.9052333831787109,0.926578152179718,0.9098621408144633,24.38703140258789,23.92267608642578
83,0.9128636693954468,0.9071267445882162,0.8398553037643434,0.8300402164459229,0.9996111106872558,0.9996084173520406,0.9065279459953308,0.9065165917078654,0.9198152709007262,0.907829205195109,24.427196197509762,23.945628484090168
84,0.9082902717590332,0.9072275757789612,0.8330571961402892,0.8302090366681417,0.9996074032783507,0.9996071060498556,0.8942803406715394,0.9025856256484985,0.9253990006446839,0.9120221734046936,24.472887134552003,23.986703872680664
85,0.9128598165512084,0.907046357790629,0.8398213648796082,0.8299068212509155,0.9996103525161742,0.9996078213055929,0.9040785765647888,0.9059499700864156,0.9222468733787536,0.9082426230112711,24.46801244735718,23.964080174763996
86,0.9146734523773193,0.9062555034955343,0.842970130443573,0.8285841147104899,0.9996145820617676,0.9996059934298197,0.9066576170921327,0.9086701472600301,0.9232888865470886,0.9039627909660339,24.408512973785403,24.019015630086262
87,0.9131134462356568,0.9066497484842936,0.8402259683609008,0.8292439182599386,0.9995960211753846,0.9996074835459391,0.907734854221344,0.908817191918691,0.9191216087341307,0.9046061237653097,24.547504310607913,23.974985758463543
88,0.9146131205558778,0.9062186082204183,0.842917308807373,0.8285224040349325,0.9996086263656615,0.9996061325073242,0.908359260559082,0.9089142282803854,0.9213586711883545,0.9036546945571899,24.43626276016235,24.008555730183918
89,0.9132032585144041,0.906802773475647,0.8404851865768432,0.8294980724652609,0.9995975637435912,0.9996078411738077,0.9058981490135192,0.9077829321225485,0.9210459399223327,0.9059311747550964,24.558116760253903,23.958913803100586
90,0.9140307688713072,0.9075879057248434,0.8418272399902343,0.8308117389678955,0.9996202707290648,0.9996090531349182,0.9040170502662659,0.9036571979522705,0.9246482062339783,0.9116520086924235,24.33610407829285,23.92411740620931
91,0.9129753947257995,0.9059139688809713,0.8400068283081054,0.8280107378959656,0.999595332145691,0.9996045430501302,0.903942461013794,0.9076574643452963,0.9223905634880066,0.90428493420283,24.517187995910643,24.058860778808594
